#########################################################################
# N = 7                                                                 #
#########################################################################
#
# potentials:    HF      JS      BF      IBX
#                -       u       b,t     u1,b1[,u2,b2[,...uX,bX]]
#
# rs  wf      E_VMC     err          E_DMC     err      var(E_L/N)      err
 0.5  JS  11.621480   0.000065     11.62066   0.00032     0.163512153E-01 0.39E-04   

  1   JS   2.242515   0.000055     2.241767   0.000044   0.380662276E-02 0.12E-04
  1   BF   2.240877   0.000017     2.240806   0.000009   0.100682608E-02 0.12E-04
  1   IB1  2.240849   0.000016     2.240803   0.000013   0.704963724E-03 0.64E-05

  2   JS   0.223184   0.000006     0.222458   0.000018   0.977306106E-03 0.49E-05
  2   BF   0.2218229  0.0000018    0.2217611  0.0000058  0.219595855E-03 0.13E-05
  2   IB1  0.2218033  0.0000035    0.2217587  0.0000049  0.130234548E-03 0.16E-05

  5   JS  -0.1318967  0.0000048   -0.1324168  0.0000073  0.107414404E-03 0.10E-05
  5   BF  -0.1327496  0.0000014   -0.1328086  0.0000027  0.249652391E-04 0.70E-06
  5   IB1 -0.1327730  0.0000012   -0.1328119  0.0000018  0.200579972E-04 0.90E-06

 10   JS  -0.1057328  0.0000018   -0.1060808  0.0000034  0.185483979E-04 0.16E-06
 10   BF  -0.1062076  0.0000008   -0.1062698  0.0000015  0.554965793E-05 0.26E-07
 10   IB1 -0.10623540 0.00000062  -0.1062753  0.0000012  0.454822035E-05 0.54E-07
 10   IB2 -0.10623766 0.00000060  -0.1062764  0.0000014  0.434033898E-05 0.42E-07

 20   JS  -0.06422234 0.00000086  -0.0644621  0.0000032  0.936647135E-05 0.12E-05
 20   BF  -0.06444594 0.00000054  -0.0645283  0.0000031  0.664969036E-05 0.12E-05
 20   IB1 -0.06448131 0.00000041  -0.0645295  0.0000024  0.498729156E-05 0.59E-06
 20   IB2 -0.06448231 0.00000039  -0.0645336  0.0000042  0.517440837E-05 0.99E-06

 50   JS  -0.02920273 0.00000025  -0.02930846 0.00000044 0.269829056E-06 0.20E-08
 50   BF  -0.02927040 0.00000018  -0.02931959 0.00000029 0.208024577E-06 0.79E-09
 50   IB1 -0.02929459 0.00000011  -0.02932092 0.00000022 0.118707462E-06 0.49E-09
 50   IB2 -0.02929575 0.00000012  -0.02932087 0.00000026 0.125572450E-06 0.52E-09

100   JS  -0.01543624 0.00000013  -0.01548943 0.00000024 0.424138366E-07 0.38E-09
100   BF  -0.01546056 0.00000007  -0.01549178 0.00000021 0.370849088E-07 0.14E-09
100   IB1 -0.01547447 0.00000007  -0.01549255 0.00000012 0.209327764E-07 0.76E-10
100   IB2 -0.01547628 0.00000007  -0.01549252 0.00000010 0.226003236E-07 0.85E-10

#########################################################################
# N = 14                                                                #
#########################################################################
#
# potentials:    HF      JS      BF      IBX
#                -       ul,uu   bl,bu,t u1,b1[,u2,b2[,...uX,bX]]
#
# rs  wf      E_VMC     err          E_DMC     err    
#
 0.5  JS   

  1   JS   1.144101   0.000037     1.141355   0.000062   0.609331614E-02 0.33E-04
  1   BF   1.138325   0.000014     1.137970   0.000020   0.219801209E-02 0.16E-04 
  1   IB1  1.138316   0.000014     1.137948   0.000019   0.149064007E-02 0.28E-04

  2   JS  -0.012216   0.000017    -0.014381   0.000028   0.113106759E-02 0.31E-05
  2   BF  -0.0163249  0.0000059   -0.0166389  0.0000088  0.334701678E-03 0.81E-06
  2   IB1 -0.0163514  0.0000065   -0.0166415  0.0000083  0.289039298E-03 0.10E-05
  2   IB2 -0.0164079  0.0000055   -0.016653   0.000011   0.246303360E-03 0.96E-06

  5   JS  -0.1573523  0.0000060   -0.1586194  0.0000106  0.107519247E-03 0.20E-06
  5   BF  -0.1593828  0.0000026   -0.1596648  0.0000046  0.338217058E-04 0.94E-07
