n_el,n_up,sampling_time,energy_time,kfac_time
2,2,0.012338048481941224,0.010986530280113219,0.019747774124145506
3,3,0.011731273937225341,0.01504574031829834,0.018146399974823
4,4,0.011314951062202453,0.016555699467658995,0.020900947570800785
5,5,0.011540890741348267,0.022392734479904176,0.021325730562210085
6,6,0.013934881067276,0.03565198841094971,0.027426286220550537
7,7,0.01599921112060547,0.04641705460548401,0.026337786197662347
8,8,0.018294505763053893,0.0591441055059433,0.024139473676681532
9,9,0.021829372644424437,0.07974858355522155,0.024957542181015008
10,10,0.026131106877326966,0.10131391212940218,0.027379935264587388
11,11,0.03006446726322174,0.12655739896297455,0.028528442859649672
12,12,0.03834086482524872,0.1716402974843979,0.029570858240127562
13,13,0.043964107942581175,0.2148833854675293,0.03306165456771848
14,14,0.05238900969028473,0.2688785705804825,0.03524696302413943
15,15,0.05729679880142212,0.3193674727916717,0.037229013442993175
16,16,0.057939829206466675,0.37161040725708006,0.03611188745498661
17,17,0.07620367567539216,0.48199552161693576,0.039515132904052674
18,18,0.08390106315612793,0.5650986195087433,0.04248718738555912
19,19,0.09387343513965607,0.6667698386907578,0.031590895652770956
20,20,0.10258845527172089,0.7673222736597061,0.03187686753273011
21,21,0.12462031490802765,0.9547845556020738,0.05128645229339601
22,22,0.1379756276845932,1.0946968228578569,0.055637212753295806
23,23,0.15034617154598237,1.2559275620698929,0.06079104852676398
24,24,0.1584972434282303,1.4028041538953782,0.06555739974975583
25,25,0.18060150787830354,1.628311322236061,0.0735177655220034
26,26,0.19135185465812682,1.835596603536606,0.07666170096397407
27,27,0.21208607749938965,2.0862152423381803,0.08078726172447226
28,28,0.2538520429134369,2.683589654445648,0.07999848294258127
29,29,0.2750167354822159,2.934671745610237,0.08638904285430904
30,30,0.294042932677269,3.196781190466881,0.09821625709533688
31,31,0.32188991305828096,3.6123214869737623,0.10005204534530687
32,32,0.300994473361969,6.476453782892227,0.13057223963737474
33,33,0.3729446269273758,8.747457939267159,0.13650124955177212
