n_el,n_up,sampling_time,energy_time,kfac_time
2,1,0.020387053084373476,0.01549499003887176,0.049505842208862304
4,2,0.023672944688796996,0.03185842022895813,0.05134982681274415
6,3,0.02398001627922058,0.044434731435775754,0.05279148459434509
8,4,0.02436842303276062,0.06976185126304627,0.046197534322738626
10,5,0.032074241399765016,0.09272514176368714,0.0571525948047638
12,6,0.036708992171287536,0.14024749095439912,0.0619648642539978
14,7,0.0451732421875,0.2048083893299103,0.06696725082397459
16,8,0.04737148807048797,0.26513811781406404,0.0760497438907623
18,9,0.06688814494609832,0.4126805396318436,0.08368838000297552
20,10,0.0821731202363968,0.5463969667196273,0.08877153301239016
22,11,0.1010286737203598,0.7802087952375412,0.09853628301620487
24,12,0.1192448891401291,0.9248860582113266,0.10480205893516514
26,13,0.14400294332504274,1.2535970534801484,0.11335216188430786
28,14,0.18173187799453736,1.5641779265880584,0.12082922124862683
30,15,0.20794776830673217,1.9727616411685942,0.1282653160095213
32,16,0.18906916933059692,3.3307428040027616,0.15370978546142577
34,17,0.2773576066017151,5.306807646560669,0.17667461752891533
36,18,0.3195223440170288,6.344936805105209,0.19384183120727538
38,19,0.3803925417661667,7.856650644659997,0.21134536576271046
40,20,0.41768931407928467,9.1527059176445,0.2216232364177717
