n_el,n_up,sampling_time,kfac_time
2,1,0.015247151136398315,0.030431997060775755
4,2,0.01876989827156067,0.03131556787490845
6,3,0.0209661883354187,0.03503000197410584
8,4,0.025564629054069518,0.03696981003284454
10,5,0.038275468039512636,0.041683516335487364
12,6,0.05094629158973694,0.04505870423316955
14,7,0.06790745584964752,0.049602010321617124
16,8,0.07171704924106598,0.05171678674221039
18,9,0.10953276374340057,0.05778702304363251
20,10,0.13826056780815124,0.06465549073219301
22,11,0.17597345321178437,0.0729761000394821
24,12,0.21109063365459443,0.0776737954378128
26,13,0.2621619601488113,0.08745039365291596
28,14,0.33565823032855985,0.10360356018543249
30,15,0.3919130375146866,0.11829512312412266
32,16,0.35360361444950106,0.14408865773677826
34,17,0.5329055574655532,0.17864695494174965
36,18,0.6154675804853439,0.2004776030302048
38,19,0.7436525325059891,0.2215477121591568
