n_el,n_up,sampling_time,kfac_time
2,2,0.01788364462852478,0.031397299480438234
3,3,0.018141476726531984,0.03041082491874695
4,4,0.018066093420982362,0.03136226322650909
5,5,0.018279088711738587,0.031064130091667173
6,6,0.018785339426994323,0.03222337357997894
7,7,0.018624730944633485,0.034975798964500426
8,8,0.019371309971809386,0.03598766496181488
9,9,0.02042293255329132,0.039232233119010924
10,10,0.022592431926727295,0.04159378323554993
11,11,0.02432717113494873,0.04323797888755798
12,12,0.02866580798625946,0.04670573923587798
13,13,0.031581840133666994,0.048840445184707634
14,14,0.03531621804237366,0.049671030855178835
15,15,0.038427638387680055,0.051932532691955566
16,16,0.038745437550544735,0.05390261538028717
17,17,0.047747786211967465,0.05759175760746003
18,18,0.05131809928417206,0.060378834223747256
19,19,0.056497891783714296,0.06407796967029572
20,20,0.06050920226573944,0.06668273923397064
21,21,0.07178676648139953,0.0702860587120056
22,22,0.07697521295547485,0.07496986184120177
23,23,0.0833756281375885,0.07913624272346495
24,24,0.08828575818538666,0.08230469138622283
25,25,0.098242813372612,0.08599538514614107
26,26,0.10536498057842254,0.08949645006656647
27,27,0.11481052970886231,0.09317857837677
28,28,0.1366957049846649,0.09910935826301576
29,29,0.1467940999507904,0.10282751998901368
30,30,0.1573513072490692,0.1070670241355896
31,31,0.17090704700946807,0.1122093785047531
32,32,0.15990258226394655,0.12477481546401975
33,33,0.19691582262516022,0.13563328683376313
34,34,0.21020410783290863,0.1438194152593613
35,35,0.22357393054962157,0.15021614141464232
36,36,0.23772162997722626,0.15129520976543429
37,37,0.2539242779970169,0.16343450095653533
38,38,0.27423243057727814,0.16435728752613066
39,39,0.2965658889055252,0.1720429086446762
