n_el,n_up,sampling_time,energy_time,kfac_time
2,2,0.010946803069114684,0.009630597853660584,0.019233863592147828
3,3,0.011137842106819153,0.01161288101673126,0.0207657413482666
4,4,0.011507857775688171,0.016128823542594907,0.02122842645645142
5,5,0.011163268208503723,0.022591813921928404,0.022662261247634888
6,6,0.015365841555595398,0.03506416757106781,0.026773520469665524
7,7,0.016318702793121337,0.04596437015533447,0.02592615413665772
8,8,0.018897002482414247,0.059225706315040594,0.026296828985214224
9,9,0.022231130003929137,0.07923207700252533,0.027599173784255984
10,10,0.02648999638557434,0.10112276535034179,0.027908703565597548
11,11,0.030664380955696107,0.1265796797990799,0.030062305212020857
12,12,0.03932584722042084,0.1698310162305832,0.03217908382415771
13,13,0.044879521703720095,0.21161382832527162,0.03496294903755187
14,14,0.052571983337402345,0.2670103976726532,0.03613227748870851
15,15,0.0576301682472229,0.31637388916015624,0.03883175349235535
16,16,0.05829953351020813,0.36555516180992126,0.03959778952598575
17,17,0.07625416972637176,0.474750872349739,0.04380919098854075
18,18,0.08369101138114929,0.5560191812992096,0.04643346452713015
19,19,0.09321805968284606,0.6577751458644867,0.03648916649818423
20,20,0.1015820038318634,0.7566570365428924,0.036212708950042694
21,21,0.12308705036640168,0.9421740208387375,0.056776209115982024
