n_el,n_up,sampling_time,energy_time,kfac_time
2,1,0.014184863471984863,0.010587366199493409,0.030706455230712887
4,2,0.0164358761548996,0.023777297711372377,0.03487044835090637
6,3,0.02017288467884064,0.04539324929714203,0.03409730505943298
8,4,0.02498850133419037,0.07625313208103181,0.03295546483993529
10,5,0.03636668889522553,0.12889407093524935,0.03733143806457517
12,6,0.04998681826591492,0.21781832914352414,0.040950859308242854
14,7,0.06777770900726318,0.34235386943817137,0.04603168129920965
16,8,0.07163669621944427,0.4252881776094437,0.052033895254135154
18,9,0.10987681422233582,0.7056622430324554,0.05282052016258243
20,10,0.13943721017837524,0.9499487365722656,0.06301528215408325
22,11,0.17656026594638824,1.341630337548256,0.06890305876731873
24,12,0.21278257994651795,1.681423613500595,0.03888695096969608
26,13,0.2622822077512741,2.312453318572045,0.0433022632598874
28,14,0.33646868889331816,3.0577865002870563,0.09929592251777652
30,15,0.3926891411066055,3.8575641192674635,0.11126816654205385
