n_el,n_up,sampling_time,energy_time,kfac_time
2,1,0.019665653133392334,0.014908105230331422,0.04694248580932617
4,2,0.022713849353790283,0.031397941064834595,0.048410574913024904
6,3,0.024247124671936036,0.049136983394622795,0.05262437176704408
8,4,0.025490099835395814,0.0667322984457016,0.05186087560653688
10,5,0.03103048985004425,0.0953189297437668,0.057769524097442626
12,6,0.03732838983535767,0.14164300494194032,0.06224697732925413
14,7,0.045366376638412476,0.2054325931072235,0.06690017294883727
16,8,0.0474958560705185,0.25943964121341706,0.07175752615928649
18,9,0.06583832077980041,0.4124586760520935,0.0767826175689697
20,10,0.08096806077957153,0.5495193402290345,0.08121931743621824
