n_el,n_up,sampling_time,energy_time,kfac_time
2,2,0.007278934907913208,0.00697299199104309,0.015517869234085085
3,3,0.008735820651054382,0.014137871861457825,0.016608196020126344
4,4,0.011361002731323242,0.025032413911819464,0.01907521843910217
5,5,0.014122428965568543,0.03957591788768768,0.021186683654785154
6,6,0.02271735098361969,0.06799005124568938,0.02053127646446229
7,7,0.02752193660736084,0.09659260015487671,0.02216040015220641
8,8,0.03618555450439453,0.13276254773139953,0.027402818918228156
9,9,0.04671697828769684,0.18935469510555267,0.02548262190818787
10,10,0.05757072615623474,0.2520227425098419,0.026149859666824316
11,11,0.06757893824577331,0.3273046646118164,0.023645472049713123
