,potential_energy,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13
0,-1.1485299,3.5074856,3.7801373,3.2949657,2.8657455,1.2690954,2.3328345,3.5505288,0.5695775,1.7679964,0.47386047,1.9874843,0.8115535,2.6113663,1.145396,0.30482823,2.6000378,3.362912,1.3840694,1.2812709,2.8417518,3.443742,1.5468478,2.3739655,1.183627,2.4391434,2.0020018,3.1205354,2.8617346,0.77509767,1.1712755,0.7466097,0.8435104,2.85384,0.22381988,2.3377116,0.6947635,3.133041,2.8452373,3.3454292,0.47756073,1.3918115,0.5663081
1,-0.91834044,3.2558856,1.5359745,0.22598118,1.3528203,2.821639,0.7022193,0.5550027,0.6210576,1.5651276,3.4145186,0.38823,3.1306853,0.26670653,2.5651002,2.0472558,1.4816607,2.8143513,2.001096,0.64260215,1.2709616,3.3793168,1.4505641,0.46217287,3.4284852,1.1966283,2.6802216,1.475014,0.14944343,0.9173167,2.576892,3.0074394,1.5344958,0.013858632,1.9570421,0.83014977,1.161747,3.3948088,0.35051793,1.1691839,2.718041,2.2314162,0.13759495
2,-1.0476145,0.73263043,1.9913332,2.9147787,0.28403276,3.4895866,3.6132877,3.0374975,1.4984542,0.0018414588,1.695548,2.4914916,0.7894293,1.882117,3.3066206,2.7360928,0.81906766,2.7335508,0.85547256,0.9069052,0.2148153,0.9989876,2.4169247,2.8311865,2.5797684,0.29811436,3.002305,1.4824839,0.30309793,2.1996393,0.70284474,0.1654991,3.131256,2.2615523,1.5025947,3.3935595,0.05711996,2.947018,0.26005617,2.2467465,3.1616542,2.8868444,0.11291083
3,-0.9807805,1.0977484,3.78502,1.892007,2.3074033,2.7511487,0.46995425,1.2000264,0.74523354,1.9040722,0.5114157,0.34984434,3.2556183,1.6009033,2.4302006,2.1815712,0.624557,1.694548,2.4225824,2.23276,0.39775226,1.8610146,1.0124321,3.5038621,3.8433235,3.5426764,3.7801154,1.6898309,3.1691852,2.2313464,3.3548145,1.7402556,3.123042,1.954841,1.1316195,1.7713472,3.1514502,2.0672326,1.2961469,0.052630935,0.32964692,0.669331,3.382301
4,-1.0207665,1.1700557,2.402736,0.30388883,3.8166106,0.5622159,0.39323857,3.111972,3.567365,3.8562675,1.8664082,1.3229845,1.6463227,3.1964817,0.39072078,3.208881,3.8396518,3.4099197,2.5570283,3.7970061,2.1786776,0.23763876,3.470343,0.2779222,1.727969,3.3163843,2.8022673,0.24042875,2.6863782,1.379794,1.091879,1.0471001,1.4971205,2.000363,3.872909,1.6357534,1.0896091,1.6144235,3.298163,1.3585647,0.40868667,0.86334205,0.5986919
5,-1.1214055,2.569984,3.2713253,0.91426444,3.4288037,1.7361553,0.7442824,0.54886836,2.020521,3.5486758,0.43772432,0.19539456,1.8401337,2.9151447,1.2070217,3.4301746,0.5406541,0.013477241,3.5067773,1.8096386,0.5803552,3.2014012,0.18849838,2.7089336,2.7609956,3.4298842,0.6066796,2.7790363,1.3328323,2.7374985,1.7009892,2.0911262,2.6229174,0.32647136,2.078785,0.2593447,2.8536146,0.1374702,0.07281664,3.057366,0.5543694,1.4300494,0.3840355
6,-1.1804854,1.3144548,1.047835,0.41130808,1.6506418,1.889912,2.016945,0.1791051,1.2214911,3.6282089,1.4413329,2.720937,0.122739576,2.4056406,2.084691,2.1317232,1.2516111,0.31999752,0.8121928,1.4315544,3.78708,3.3807528,3.4571137,2.1749046,2.3313897,0.6132962,2.5545242,3.7145817,1.891481,2.7399297,1.8919785,2.6849973,1.5031048,2.4798908,3.2126102,3.6365204,0.8907692,3.6832008,1.7376943,1.3516675,2.8915067,2.1551275,0.106463425
7,-1.1451414,0.81864494,1.4147346,0.96433413,0.95665455,2.7787743,2.2014349,2.9634254,2.3560562,1.8755038,3.7498877,2.770859,3.724677,0.64436567,3.6037061,0.8052482,3.6203313,1.3514707,2.0170999,0.6152729,1.4539216,0.13621187,1.8522911,2.5123491,0.1506393,2.5780647,1.0488079,0.94424915,3.6537974,2.1858,0.3436631,1.08171,2.5218284,1.3382372,2.3070116,0.544587,3.3641624,0.5188961,0.06417162,0.4953401,2.8782346,2.9035723,3.2697852
8,-1.1145476,2.2165685,1.0271946,1.3548532,2.8366983,3.314364,2.6824934,3.1332934,1.2636027,3.6840866,1.0312612,0.09354309,2.931043,3.4889598,2.6918497,2.4865606,1.061131,2.3099256,2.345094,1.9116663,2.563855,1.2268821,3.4638824,2.0793293,0.67380947,3.8776731,1.2687318,1.372999,3.445652,0.92258906,3.7476008,2.9453046,0.7692127,0.59720784,3.4237347,0.031303976,2.8895538,2.0432332,0.7775488,2.1410205,1.9613484,3.825568,0.40466487
9,-1.0571439,0.17594346,1.5271794,3.0883584,0.71262443,2.0404096,2.0766046,2.6683986,2.1554139,3.1134694,3.6025589,0.7199467,2.7625804,0.9689156,1.053224,0.9149744,1.0289366,0.8915751,2.6689303,1.2707477,2.363817,0.8364208,1.2401775,1.4932935,1.3790777,2.9784272,3.2749457,0.32139117,2.9419513,0.90217066,2.5617132,0.7376017,2.2958255,0.081709005,3.357312,0.60144275,3.472668,3.3074164,1.6463258,1.1149173,3.428909,2.964959,1.5950387
10,-1.3553708,1.7340808,1.1515013,3.7938282,0.60158587,0.38814428,3.8788505,1.2276427,0.38158312,1.4949207,3.7553265,3.146316,2.8362985,1.4211718,2.9020329,0.8847309,3.5501893,2.4584808,2.0092356,2.659788,2.0999825,3.6445408,2.4550488,3.8818111,1.1474068,3.3808696,2.2929654,0.18868445,2.5121872,0.13122806,2.7753239,1.9448828,1.7819744,2.7459116,2.5456026,1.347344,0.4602872,0.301065,0.65497404,2.643586,1.6670619,3.8786185,0.7694446
11,-1.3066872,1.610804,1.5682006,2.5730655,3.5583365,2.294445,3.58291,1.0349146,1.198724,0.2187968,1.2909431,1.526633,0.5049793,3.1545959,2.6037245,2.1713011,0.089626655,3.5798395,0.5641324,2.3446875,0.4574746,3.5068572,3.396458,0.91207457,2.3744206,0.12704538,3.1160095,3.1887238,3.4487057,0.5082307,1.7616142,1.5405629,0.99525523,1.8125904,1.5028813,2.655803,3.6736133,2.8773746,1.0541816,0.53797597,3.364691,1.902965,1.2799594
